Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

HAT_MODEL_BOUNDS model=male center=(1.127418, 0.834995, 0.048598) size=(0.035078, 0.053691, 0.041719) socket=(1.510485, 1.929086, 0.061057)
HAT_RUNTIME_OK model=male id=beta_s1_ace_hat width=1.100 height=0.562 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.145142, 0.061057)
HAT_RUNTIME_OK model=male id=beta_s1_level_30_hat width=1.200 height=0.403 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.065465, 0.061057)
HAT_RUNTIME_OK model=male id=hat_chef width=1.100 height=1.175 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.446392, 0.061057)
HAT_RUNTIME_OK model=male id=hat_cowboy_classic width=1.150 height=0.319 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.028511, 0.061057)
HAT_RUNTIME_OK model=male id=hat_cowboy_wide width=1.280 height=0.309 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.023706, 0.061057)
HAT_RUNTIME_OK model=male id=hat_crown width=1.000 height=0.740 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.224139, 0.061057)
HAT_RUNTIME_OK model=male id=hat_fedora_black width=1.100 height=0.324 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.026081, 0.061057)
HAT_RUNTIME_OK model=male id=hat_fedora_white width=1.100 height=0.481 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.104708, 0.061057)
HAT_RUNTIME_OK model=male id=hat_straw_adventurer width=1.240 height=0.379 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.058763, 0.061057)
HAT_RUNTIME_OK model=male id=hat_top width=1.050 height=0.647 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.182614, 0.061057)
HAT_RUNTIME_OK model=male id=hat_witch width=1.150 height=0.749 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.243466, 0.061057)
HAT_RUNTIME_OK model=male id=hat_yellow_point width=1.050 height=1.237 socket=(1.510485, 1.929086, 0.061057) center=(1.510485, 2.477797, 0.061057)
HAT_MODEL_BOUNDS model=female center=(0.011179, -0.00469, 0.00828) size=(0.035078, 0.041719, 0.053691) socket=(1.499756, 1.912242, 0.484003)
HAT_RUNTIME_OK model=female id=beta_s1_ace_hat width=1.100 height=0.562 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.128298, 0.484003)
HAT_RUNTIME_OK model=female id=beta_s1_level_30_hat width=1.200 height=0.403 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.048621, 0.484003)
HAT_RUNTIME_OK model=female id=hat_chef width=1.100 height=1.175 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.429548, 0.484003)
HAT_RUNTIME_OK model=female id=hat_cowboy_classic width=1.150 height=0.319 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.011667, 0.484003)
HAT_RUNTIME_OK model=female id=hat_cowboy_wide width=1.280 height=0.309 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.006862, 0.484003)
HAT_RUNTIME_OK model=female id=hat_crown width=1.000 height=0.740 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.207295, 0.484002)
HAT_RUNTIME_OK model=female id=hat_fedora_black width=1.100 height=0.324 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.009237, 0.484003)
HAT_RUNTIME_OK model=female id=hat_fedora_white width=1.100 height=0.481 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.087864, 0.484002)
HAT_RUNTIME_OK model=female id=hat_straw_adventurer width=1.240 height=0.379 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.041919, 0.484003)
HAT_RUNTIME_OK model=female id=hat_top width=1.050 height=0.647 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.16577, 0.484003)
HAT_RUNTIME_OK model=female id=hat_witch width=1.150 height=0.749 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.226622, 0.484003)
HAT_RUNTIME_OK model=female id=hat_yellow_point width=1.050 height=1.237 socket=(1.499756, 1.912242, 0.484003) center=(1.499756, 2.460953, 0.484003)
HAT_COSMETICS_VALIDATION: PASS hats=12 models=2 previews=24
